HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs,x,y,z,adjusted_brightness
813,00 10 02.18,+11 08 44.9,5.54,2.50910252,11.14580908,10.04,29.73,1.64,0.86,-0.064,,2.50917617,11.14581307,318.27140290273945,13.946582948744378,62.76682161996293,5.539999961853027
814,00 10 02.27,-82 13 26.4,5.29,2.50945435,-82.22399743,13.45,-21.66,-20.39,0.5,1.049,,2.50906524,-82.22404699,34.63752230352176,1.5180357546600582,-239.88665495396341,5.289999961853027
840,00 10 18.85,-05 14 54.7,5.84,2.57853868,-5.24851713,18.18,34.98,-29.01,0.92,0.973,,2.57862406,-5.24858764,178.52074278395725,8.039583429866909,-14.85358802425953,5.840000152587891
841,00 10 19.24,+46 04 20.2,5.01,2.58017518,46.07227117,3.24,4.51,0.21,0.68,0.405,,2.58019098,46.07227168,697.3251323674912,31.42347106295143,724.6613017369914,5.010000228881836
873,00 10 42.75,-12 34 47.3,5.84,2.67810574,-12.57980381,15.35,149.39,-38.22,0.74,1.0,,2.67847777,-12.57989671,207.94570163614816,9.726903467549947,-42.05141517199114,5.840000152587891
910,00 11 15.91,-15 28 02.4,4.89,2.81628415,-15.46732287,52.94,-84.2,-269.31,0.77,0.487,,2.81607181,-15.46797744,59.536911183430824,2.928810391410808,-15.452175260492773,4.889999866485597
930,00 11 34.42,-27 47 59.2,5.41,2.8934043,-27.7997782,5.61,4.61,17.09,0.92,1.346,,2.89341697,-27.79973666,520.7357691509208,26.319349897779485,-256.56334950393443,5.4099998474121085
950,00 11 43.89,-35 08 00.2,5.24,2.93286698,-35.13339606,45.85,169.01,113.75,0.66,0.459,,2.93336928,-35.13311958,58.26124666430583,2.9849031609682894,-40.64639493097572,5.239999771118164
983,00 12 09.95,-17 56 17.6,5.29,3.04145374,-17.93821766,5.33,60.48,-24.69,0.87,1.478,,3.04160825,-17.93827767,586.9286517088879,31.185502334998535,-169.22253652755143,5.289999961853027
1067,00 13 14.15,+15 11 01.0,2.83,3.30895828,15.18361593,9.79,4.7,-8.24,0.81,-0.19,,3.30897012,15.1835959,320.8327697608406,18.549431315269977,87.2152014196812,2.8299999237060547
1074,00 13 19.55,-84 59 38.5,5.78,3.3314522,-84.99402068,4.0,10.97,17.4,0.49,1.71,,3.33175776,-84.99397839,99.07148783870251,5.767003973162553,-808.9354621739607,5.78000020980835
1086,00 13 30.94,+41 02 08.6,5.71,3.37889713,41.03572671,28.57,-122.76,-146.91,0.74,0.331,P,3.37850157,41.03536964,85.92035460748716,5.072882315602062,74.91375565232867,5.710000038146973
1096,00 13 42.22,-26 01 19.8,5.94,3.42591849,-26.02215399,3.22,37.59,-78.73,0.83,1.548,,3.42602016,-26.02234535,908.5043228756738,54.38750866055052,-443.46466774071064,5.940000057220459
1158,00 14 27.59,-07 46 49.9,5.13,3.61496786,-7.78053784,5.21,61.01,2.36,0.79,1.601,P,3.61511753,-7.7805321,620.7992394059374,39.220095185711536,-67.78873736653397,5.130000114440918
1168,00 14 36.11,+20 12 24.1,4.79,3.65045047,20.2066972,10.01,90.66,1.88,0.77,1.572,,3.65068528,20.20670177,305.00982436858385,19.459281040982194,112.49046614303388,4.789999961853027
1170,00 14 38.43,-18 55 57.7,4.44,3.66013628,-18.93268628,6.62,-27.15,-73.78,0.82,1.64,P,3.66006652,-18.93286561,469.7998695809302,30.052284961722915,-144.53071248251425,4.440000057220459
1191,00 14 54.50,-09 34 10.4,5.77,3.72708897,-9.56955053,9.4,22.64,-8.45,0.78,-0.084,,3.72714477,-9.56957107,342.3355366192312,22.300347507435188,-50.84513429907506,5.769999980926514
1288,00 16 08.79,-31 26 46.8,5.66,4.0366068,-31.44632821,7.64,117.87,-27.11,0.83,1.35,,4.03694261,-31.4463941,366.54394826838814,25.8667107194626,-216.91169643300506,5.659999847412109
1354,00 16 57.05,+61 31 59.5,5.74,4.23771177,61.53319397,5.08,-6.0,-3.46,0.58,0.898,,4.23768117,61.53318556,305.04513819654477,22.60296785841352,564.1426287005189,5.739999771118165
1366,00 17 05.54,+38 40 54.0,4.61,4.27306518,38.68167915,12.88,-50.01,-17.9,1.31,0.059,,4.27290947,38.68163564,197.03269513816568,14.721879837147036,158.18919647981792,4.610000133514404
1372,00 17 09.04,+47 56 50.7,5.86,4.28766746,47.94741495,3.42,4.05,-3.97,0.65,-0.079,,4.28768216,47.9474053,636.6891480809037,47.7350729434223,707.7921355611998,5.860000133514404
1473,00 18 19.71,+36 47 07.2,4.51,4.58210555,36.7853273,23.11,-66.51,-42.48,0.68,0.054,,4.5819037,36.78522405,112.61528445360055,9.025450651871584,84.47202965063663,4.510000228881837
1493,00 18 38.22,+31 31 02.0,5.88,4.65924059,31.51723388,6.0,58.09,-2.91,0.77,-0.014,,4.65940621,31.51722681,461.65184090691434,37.624153443471876,284.03012512061144,5.880000114440918
1562,00 19 25.68,-08 49 25.8,3.56,4.85701265,-8.82382948,11.26,-14.37,-37.84,0.73,1.214,,4.8569773,-8.82392145,286.22104537218456,24.3214280607312,-36.167045127819755,3.5599999427795406
1599,00 20 01.91,-64 52 39.4,4.23,5.00797581,-64.8776232,116.38,1707.56,1165.36,0.64,0.576,,5.01775052,-64.87479041,12.615354188808427,1.1054661732207678,-24.98570320803055,4.230000019073486
1630,00 20 24.39,+30 56 08.2,5.89,5.10163324,30.93561514,5.6,15.27,-0.64,0.73,-0.098,,5.10167651,30.93561358,497.3523826869151,44.40173573211409,299.26478403682574,5.889999866485596
1645,00 20 35.86,+08 11 24.9,5.38,5.14943435,8.19024803,8.26,-4.5,9.59,0.81,1.343,,5.1494233,8.19027134,389.07099520656453,35.06192754426983,56.22532966637552,5.380000114440918
1647,00 20 39.04,-69 37 29.7,5.5,5.16267858,-69.62491154,10.65,-4.01,-0.64,0.51,-0.046,,5.16265059,-69.6249131,112.35026402749496,10.150866789398773,-284.55861737863086,5.5
1657,00 20 45.54,+32 54 40.4,5.79,5.18974442,32.91122853,5.05,-29.44,-17.29,0.87,1.595,,5.18965919,32.91118651,539.7216774961092,49.02116818119225,350.7494493495362,5.7899999618530265
1686,00 21 07.23,+37 58 07.3,5.16,5.28010785,37.96869954,20.42,58.32,-39.65,0.73,0.442,,5.28028766,37.96860317,125.32350192647425,11.58206431914596,98.22000420406063,5.159999847412109
1706,00 21 28.74,-77 25 36.7,5.96,5.3697616,-77.42685699,4.68,14.23,-6.44,0.53,1.397,,5.36992048,-77.42687264,161.03906400114138,15.136895486251731,-677.5416542819257,5.960000038146973
1708,00 21 31.18,-28 58 52.7,5.18,5.37990144,-28.98129509,10.5,32.77,-71.48,0.87,1.006,,5.37999249,-28.98146883,275.3718957897517,25.93292537602612,-141.0434941541342,5.179999828338622
1728,00 21 46.23,-20 03 28.8,5.61,5.44264511,-20.05799253,4.21,62.63,-12.77,0.84,1.58,P,5.44280717,-20.05802357,724.6340069167162,69.04202546182471,-264.1054718173425,5.610000133514404
1921,00 24 15.64,+52 01 11.7,5.58,6.06518443,52.01992467,2.38,13.7,-4.4,0.69,-0.11,,6.06523854,52.01991398,838.2073264097238,89.06314159542116,1079.6690981878069,5.579999923706055
1960,00 24 47.49,+61 49 51.8,5.38,6.19786908,61.83106347,4.27,13.67,-2.45,0.54,0.008,,6.19793946,61.83105752,358.30509636053506,38.910944028085844,673.040711314968,5.380000114440918
1982,00 25 06.39,+53 02 48.4,5.72,6.276607,53.04678501,6.17,25.8,0.3,0.71,-0.056,,6.27671131,53.04678574,315.7282011223249,34.72634595986825,422.2289502689143,5.71999979019165
2006,00 25 24.22,+01 56 23.0,5.77,6.35090309,1.93972374,5.5,-14.33,-12.89,1.03,0.855,,6.35086824,1.93969241,588.7521783721043,65.52847727575801,20.06267586173647,5.769999980926515
2021,00 25 39.20,-77 15 18.1,2.82,6.41334183,-77.25503511,133.78,2220.12,324.37,0.51,0.618,,6.43780017,-77.25424559,5.552354749210663,0.6241047549119834,-23.719172014908192,2.8199999332427983
2072,00 26 12.12,-43 40 47.7,3.93,6.55048418,-43.67990933,42.51,106.14,32.83,0.69,0.175,,6.55084089,-43.67982953,56.3324453823562,6.468571956455835,-51.631755340105,3.9300000667572017
2081,00 26 16.87,-42 18 18.4,2.4,6.57028075,-42.30512197,42.14,232.76,-353.64,0.78,1.083,,6.57104571,-42.30598151,57.386010016131976,6.60963624401632,-51.45785117763856,2.4000000953674316
2159,00 27 14.69,-25 32 49.7,5.99,6.81119663,-25.54713325,4.86,32.93,-15.26,0.97,1.022,,6.81128534,-25.54717034,606.3046624677027,72.41774987488719,-277.66643483344717,5.989999771118164
2210,00 27 55.71,-33 00 25.4,4.86,6.98213606,-33.0070446,5.95,-20.48,-50.39,0.72,1.634,P,6.9820767,-33.00716708,456.1357384777437,55.8619823707852,-298.3506919977111,4.860000133514403
2219,00 28 02.84,+17 53 35.1,5.01,7.01185234,17.89307501,6.65,114.91,20.48,0.78,1.584,,7.01214583,17.89312479,463.0250051837317,56.94939496185114,150.61775328913484,5.010000228881837
2225,00 28 13.59,+44 23 40.2,5.18,7.05660466,44.39448925,12.32,84.1,-15.33,0.75,0.043,,7.05689073,44.39445199,187.64247172228386,23.22786287481248,185.12004470292808,5.179999828338623
2240,00 28 26.42,-39 54 53.6,5.42,7.11007309,-39.91490183,7.86,135.95,-41.36,0.68,1.556,,7.11050391,-39.91500236,323.94391715980885,40.4072436273633,-255.83590376372592,5.420000076293945
2353,00 30 02.35,-03 57 26.3,5.72,7.50980355,-3.95729662,3.82,8.61,-14.51,0.92,1.545,,7.50982453,-3.95733189,845.5454764824193,111.46518269377705,-30.418865649964797,5.71999979019165
2355,00 30 07.34,+29 45 06.1,5.2,7.53056566,29.75169567,17.62,43.56,-57.18,0.86,0.271,,7.53068761,29.75155669,159.24342384134275,21.051274759989155,91.81324786100673,5.199999809265137
2377,00 30 19.91,+59 58 39.2,5.94,7.58297373,59.977564,4.54,16.26,-3.94,0.76,-0.003,,7.58305272,59.97755442,356.1324987736433,47.41041347544518,621.7189657364871,5.94000005722046
2381,00 30 22.67,-23 47 15.8,5.17,7.59446346,-23.78771429,18.08,-26.95,13.97,0.9,0.128,,7.59439188,-23.78768034,165.46463170215083,22.061407030246816,-68.16414460806793,5.170000076293945
2383,00 30 25.97,-48 12 52.9,5.67,7.60822774,-48.21469821,22.19,163.44,-87.3,0.67,0.367,,7.60882391,-48.2149104,97.84340305581775,13.069364384893102,-108.80852788747794,5.670000076293945
2472,00 31 24.86,-48 48 12.8,4.76,7.85356695,-48.80356171,18.97,140.74,19.47,0.64,0.018,,7.85408632,-48.80351439,115.67476783009977,15.955695930325248,-126.0844484554044,4.760000228881836
2475,00 31 25.61,+33 34 54.1,5.88,7.85668759,33.58168169,6.98,49.61,-16.26,0.79,1.133,,7.85683233,33.58164217,385.4449021211676,53.1880881290566,258.3365084392116,5.880000114440918
2484,00 31 32.56,-62 57 29.1,4.36,7.88566992,-62.95808549,23.35,82.48,-54.37,0.52,-0.064,,7.88611087,-62.95821764,66.95791875578989,9.274106638297434,-122.15913013794736,4.360000133514404
2487,00 31 33.36,-62 57 55.6,4.53,7.88898014,-62.96544985,18.95,87.95,-45.79,4.35,0.147,,7.88945045,-62.96556114,82.52336407333158,11.4349150691438,-150.51254944170626,4.53000020980835
2497,00 31 41.21,+52 50 22.4,5.59,7.92171234,52.83955844,8.29,-55.33,-13.14,0.68,1.163,,7.9214897,52.8395265,235.27243852473418,32.7376103013932,313.3953738887023,5.590000152587891
2505,00 31 46.32,+54 31 20.4,4.74,7.94299136,54.52232473,9.2,40.78,-14.81,1.06,-0.098,,7.94316214,54.52228873,203.68529232537506,28.419493648963087,288.56025563120505,4.739999771118164
2548,00 32 23.75,+06 57 19.6,5.69,8.09897908,6.95545461,12.36,45.91,3.54,0.8,-0.014,D,8.09909149,6.95546321,259.20172155845694,36.88505997698205,31.939946342115444,5.690000057220459
2568,00 32 35.40,+20 17 40.0,5.38,8.14750345,20.29443334,12.69,136.81,-48.1,0.72,1.069,,8.14785798,20.29431643,238.51580241732378,34.14759173464778,89.1027415994715,5.380000114440917
2578,00 32 43.79,-63 01 53.0,5.07,8.18247614,-63.03137868,21.52,86.15,-49.85,0.49,0.038,,8.18293786,-63.03149984,68.14670846196671,9.798794611059444,-134.9381953480406,5.070000171661377
2599,00 32 59.99,+62 55 54.4,4.17,8.24994391,62.93178781,0.79,3.99,-2.1,0.52,0.13,,8.24996522,62.93178271,1858.3732698142217,269.44992054426336,3674.578330418261,4.170000076293945
2611,00 33 10.32,+54 53 42.3,5.93,8.29301467,54.89508062,8.68,70.08,-39.36,0.71,1.037,,8.29331086,54.89498495,213.7260932804855,31.152598275060964,307.258884690557,5.929999828338623
2661,00 33 41.06,-29 33 29.5,5.55,8.42108802,-29.55820696,6.56,-27.91,-29.31,0.71,1.262,,8.42101003,-29.5582782,432.25867262302916,63.992944380352576,-236.6809284557141,5.550000190734864
2711,00 34 27.62,-52 22 23.5,5.57,8.61506261,-52.37318294,39.03,227.8,38.21,0.62,0.472,,8.61596951,-52.37309007,51.26600992059743,7.767060252630168,-65.48265002487652,5.570000171661377
2762,00 35 14.64,-03 35 33.9,5.2,8.8110039,-3.59275785,47.51,407.68,-36.47,1.15,0.567,,8.81199674,-3.59284649,67.74754586042192,10.501192915929606,-2.882062336965828,5.199999809265137
2787,00 35 32.75,-00 30 19.7,5.94,8.88645754,-0.50545908,17.97,143.36,-61.94,0.74,0.444,,8.886806,-0.50560963,179.22888471944543,28.023097039468386,1.6004369438045238,5.940000057220459
2802,00 35 41.13,-48 00 02.4,5.51,8.92139531,-48.00066027,27.61,47.14,-101.4,0.77,0.461,,8.92156654,-48.00090673,78.05156060742891,12.252382240381388,-87.74453806569953,5.510000228881835
2854,00 36 08.29,+54 10 06.4,5.08,9.0345314,54.16845384,6.45,22.98,-1.52,0.63,-0.098,,9.03462681,54.16845015,292.20804461022675,46.461806251344825,409.77015053347816,5.079999923706055
2876,00 36 27.34,+60 19 34.4,5.78,9.11392475,60.32621728,0.97,3.05,-1.1,0.59,0.294,,9.11393972,60.32621461,1642.808418940765,263.5445534889311,2920.0799730353974,5.78000020980835
2900,00 36 46.47,+44 29 18.6,5.14,9.1936292,44.48850971,4.97,-36.7,31.77,0.78,1.587,P,9.19350416,44.48858693,461.9275419041472,74.76319284923294,459.65745577330557,5.139999866485596
2903,00 36 47.31,+15 13 54.3,5.89,9.19713232,15.23175994,3.81,0.91,-14.18,0.71,-0.146,,9.19713461,15.23172547,814.971733486818,131.95465195679782,224.79787641540585,5.889999866485596
2912,00 36 52.84,+33 43 09.7,4.34,9.22016239,33.71935227,4.97,15.23,-3.56,0.82,-0.123,,9.22020689,33.71934362,538.536346946974,87.41839001492953,364.12661771259405,4.340000152587891
2920,00 36 58.27,+53 53 49.0,3.69,9.24277921,53.89693161,5.46,17.77,-9.15,0.61,-0.196,,9.24285251,53.89690937,347.24916954038537,56.50827349841246,482.40742950667646,3.690000057220459
2941,00 37 19.79,-24 46 02.0,5.57,9.33244613,-24.76722545,64.38,1422.09,-17.15,1.4,0.715,,9.33625274,-24.76726709,45.91481520498158,7.5455502953950475,-19.974598323606603,5.570000171661377
2942,00 37 21.23,+35 23 58.2,5.45,9.33844167,35.39951013,3.19,-9.21,-3.57,0.77,0.886,,9.33841421,35.39950145,821.97977080935,135.17094027190853,591.9853913571969,5.449999809265137
3031,00 38 33.50,+29 18 44.5,4.34,9.63958024,29.312369,19.34,-229.41,-254.08,0.76,0.871,,9.63894077,29.31175144,144.90515434749352,24.61185733981706,82.52327228776463,4.340000152587891
3083,00 39 09.89,+49 21 16.5,5.45,9.79119583,49.35459528,2.45,7.93,-2.74,0.68,1.644,,9.79122542,49.35458862,854.103918444848,147.39440033848666,1009.6089661842893,5.449999809265137
3092,00 39 19.60,+30 51 40.4,3.27,9.83165567,30.86122579,32.19,115.38,-83.05,0.68,1.268,,9.83198236,30.86102393,85.65783058958208,14.844435617443265,51.94939307552618,3.269999980926514
3093,00 39 22.09,+21 15 04.9,5.88,9.84206107,21.2513739,90.03,-461.07,-370.88,0.72,0.85,,9.84085866,21.25047245,33.25115975886907,5.7686022745909025,13.124738409845353,5.880000114440917
3138,00 39 55.55,+21 26 18.8,5.36,9.98147468,21.4385644,7.94,28.46,-28.51,0.79,1.16,,9.981549,21.4384951,376.3868011277001,66.24156464732619,150.06807532996953,5.360000133514405
3170,00 40 24.66,-59 27 20.5,5.89,10.10273354,-59.45568115,39.26,883.26,443.01,0.56,0.564,,10.10695771,-59.45460432,42.6596544891804,7.600954328899086,-70.83350439808257,5.889999866485596
3179,00 40 30.39,+56 32 14.7,2.24,10.12661349,56.53740928,14.27,50.36,-32.17,0.57,1.17,,10.12683548,56.53733109,124.00392710914747,22.147920825324313,190.5845931732078,2.240000009536743
3193,00 40 42.38,-04 21 06.5,5.9,10.17658814,-4.35180551,5.66,-15.29,-14.48,0.94,1.091,,10.17655087,-4.3518407,565.7616911412014,101.55790161452185,-36.64907600099378,5.900000095367432
3231,00 41 07.20,+39 27 31.2,5.3,10.27998074,39.45867141,9.47,-14.37,-3.02,0.81,0.891,,10.2799355,39.45866407,261.5192240734879,47.43180150473148,218.77504904045838,5.300000190734863
3245,00 41 19.58,-46 05 06.0,4.59,10.33156671,-46.08500934,13.19,-28.92,1.04,0.67,0.953,,10.33146537,-46.08500681,169.1652149756984,30.83886866163216,-177.53492516176487,4.590000152587891
3277,00 41 46.30,-56 30 05.2,5.72,10.44292464,-56.50145475,15.29,90.15,57.28,0.58,0.131,,10.44332165,-56.50131553,118.76819759027725,21.89001441920024,-175.70993004001093,5.71999979019165
3299,00 42 03.44,+66 08 51.4,5.83,10.5143156,66.14761311,6.48,-9.79,-8.55,0.58,1.042,,10.51425676,66.14759233,200.0230706490672,37.12384467469746,460.11795837015615,5.829999923706055
3300,00 42 03.88,+50 30 45.1,4.8,10.51618425,50.51254151,2.94,12.32,-6.48,0.73,-0.105,,10.51623134,50.51252576,693.2804596677288,128.69428550658773,855.7651124739688,4.800000190734863
3330,00 42 28.30,-65 28 05.3,5.38,10.61790472,-65.46813002,24.59,54.11,41.12,0.51,0.515,,10.61822148,-65.46803008,56.03201634758067,10.504243039096446,-119.69125640598658,5.380000114440918
3352,00 42 41.64,-60 15 45.7,5.99,10.67349903,-60.26268184,13.73,263.68,-51.74,0.58,1.318,,10.67479109,-60.26280759,117.5893749226726,22.162419691194952,-205.0793811566652,5.989999771118165
3405,00 43 21.24,-57 27 47.2,4.36,10.83851683,-57.46309763,13.57,-5.16,15.5,0.57,0.024,,10.83849351,-57.46305996,130.10298224931552,24.909087032898086,-200.41457147479832,4.360000133514404
3414,00 43 28.09,+47 01 28.7,4.95,10.8670447,47.02463657,18.71,-24.52,-37.16,0.73,0.17,,10.86695727,47.02454625,116.6455200784764,22.39280798736134,127.48097567728935,4.949999809265137
3419,00 43 35.23,-17 59 12.1,2.04,10.89678452,-17.9866841,34.04,232.79,32.71,0.82,1.019,,10.8973794,-17.9866046,90.39380171927104,17.401853181370686,-26.41907933113032,2.0399999618530273
3455,00 44 11.41,-10 36 33.4,4.77,11.04752272,-10.60927365,15.54,-6.96,-113.88,0.82,0.998,,11.04750551,-10.60955044,203.13438991696347,39.6602748143925,-34.22920431498209,4.769999980926514
3456,00 44 11.92,-38 25 19.1,5.9,11.04964742,-38.42197898,8.76,247.02,120.68,0.72,1.144,,11.05041376,-38.42168566,289.4668920044646,56.52711218827763,-226.95006160669737,5.900000095367432
3478,00 44 26.23,+47 51 50.3,5.66,11.10927611,47.863963,4.29,-39.77,8.54,0.7,-0.113,,11.10913203,47.86398376,500.2629373124859,98.23193934416673,563.5119995756565,5.659999847412109
3504,00 44 43.50,+48 17 03.8,4.48,11.18125882,48.28438262,3.6,17.79,-7.62,0.82,-0.069,,11.1813238,48.2843641,591.1493467862222,116.84969797745116,675.9582128513066,4.480000019073486
3505,00 44 44.44,-22 00 22.8,5.22,11.18515547,-22.00633247,35.92,-66.07,81.15,0.69,0.35,,11.18498226,-22.00613523,82.55396724060714,16.323916461521133,-33.98895981249934,5.21999979019165
3521,00 44 57.12,-42 40 34.8,5.94,11.23801546,-42.67632489,15.01,-89.06,-96.11,0.71,0.297,,11.23772103,-42.67655849,159.97934525666267,31.787040049075173,-143.41218242335702,5.940000057220459
3544,00 45 17.20,+55 13 17.1,5.41,11.32168124,55.2214087,9.28,-28.35,-5.34,0.65,0.022,,11.32156044,55.22139572,196.48061206404674,39.33797298675781,288.53898280220477,5.409999847412109
3572,00 45 39.11,+74 59 17.3,5.64,11.4129637,74.9881262,11.24,-14.93,-21.86,0.55,0.078,,11.4128236,74.98807307,73.63924673382836,14.865609294920187,280.1373239369063,5.639999866485596
3583,00 45 45.43,-47 33 07.8,5.8,11.43930832,-47.55217573,66.92,183.96,78.36,0.73,0.635,,11.4399708,-47.55198527,32.89851231238669,6.6569849603039515,-35.30598302829119,5.800000190734863
3607,00 46 11.63,-22 31 19.4,5.49,11.54845521,-22.52206718,9.78,197.14,-12.25,0.71,0.978,,11.54897393,-22.52209695,303.90671108685217,62.09823593909748,-122.04768423937281,5.489999771118163
